Assembly	Durio_zibe_PilonPolished
# misassemblies	171
    # relocations	170
    # translocations	0
    # inversions	1
# misassembled contigs	102
Misassembled contigs length	15257209
# local misassemblies	233
# unaligned mis. contigs	7
# mismatches	68694
# indels	29964
    # indels (<= 5 bp)	28198
    # indels (> 5 bp)	1766
Indels length	61728
